precipitation,temperature,humidity,label
0.0,28.4,51.0,Disiram sedikit
0.0,29.5,45.0,Disiram Banyak
0.0,30.2,42.0,Disiram Banyak
0.0,30.0,43.0,Disiram Banyak
0.0,30.1,42.0,Disiram Banyak
0.0,29.8,42.0,Disiram Banyak
0.0,29.2,44.0,Disiram Banyak
0.0,27.6,54.0,Disiram Normal
0.0,25.5,63.0,Disiram Normal
0.0,24.3,69.0,Disiram sedikit
0.0,23.4,75.0,Disiram sedikit
0.0,22.8,79.0,Disiram sedikit
0.0,22.1,84.0,Disiram sedikit
0.0,21.5,88.0,Disiram sedikit
0.0,21.3,89.0,Disiram sedikit
0.0,20.8,89.0,Disiram sedikit
0.0,20.5,90.0,Disiram sedikit
0.0,20.3,91.0,Disiram sedikit
0.0,20.1,92.0,Disiram sedikit
0.0,19.8,93.0,Disiram sedikit
0.0,19.7,93.0,Disiram sedikit
0.0,21.3,85.0,Disiram sedikit
0.0,24.2,71.0,Disiram sedikit
0.0,26.6,62.0,Disiram Normal
0.0,28.3,53.0,Disiram sedikit
0.0,29.4,46.0,Disiram Banyak
0.0,30.1,43.0,Disiram Banyak
0.0,29.8,46.0,Disiram Banyak
0.0,29.7,46.0,Disiram Banyak
0.0,28.7,53.0,Disiram sedikit
0.0,28.1,57.0,Disiram sedikit
0.1,26.5,63.0,Disiram sedikit
0.1,25.2,69.0,Disiram sedikit
0.0,23.7,78.0,Disiram sedikit
0.3,22.9,85.0,Tidak Disiram
0.0,22.5,88.0,Disiram sedikit
0.0,22.2,89.0,Disiram sedikit
0.0,21.7,90.0,Disiram sedikit
0.0,21.0,92.0,Disiram sedikit
0.0,20.7,91.0,Disiram sedikit
0.0,20.3,92.0,Disiram sedikit
0.0,19.9,93.0,Disiram sedikit
0.0,19.4,96.0,Disiram sedikit
0.0,19.0,96.0,Disiram sedikit
0.0,18.6,97.0,Disiram sedikit
0.0,21.1,84.0,Disiram sedikit
0.0,24.3,66.0,Disiram sedikit
0.0,26.7,57.0,Disiram Normal
0.0,28.5,52.0,Disiram sedikit
0.0,29.8,47.0,Disiram Banyak
0.0,30.3,44.0,Disiram Banyak
0.0,30.2,44.0,Disiram Banyak
0.0,30.5,41.0,Disiram Banyak
0.0,30.3,40.0,Disiram Banyak
0.0,29.7,41.0,Disiram Banyak
0.0,28.3,47.0,Disiram Banyak
0.2,25.5,66.0,Disiram sedikit
0.1,24.1,74.0,Disiram sedikit
0.0,23.4,75.0,Disiram sedikit
0.0,22.3,78.0,Disiram sedikit
0.0,21.2,82.0,Disiram sedikit
0.0,20.3,85.0,Disiram sedikit
0.0,19.5,86.0,Disiram sedikit
0.0,19.2,84.0,Disiram sedikit
0.0,18.7,85.0,Disiram sedikit
0.0,18.0,90.0,Disiram sedikit
0.0,17.6,93.0,Disiram sedikit
0.0,17.3,94.0,Disiram sedikit
0.0,17.3,93.0,Disiram sedikit
0.0,19.1,83.0,Disiram sedikit
0.0,23.2,65.0,Disiram sedikit
0.0,26.2,55.0,Disiram Normal
0.0,28.5,46.0,Disiram Banyak
0.0,29.9,41.0,Disiram Banyak
0.0,30.4,38.0,Disiram Banyak
0.0,30.9,36.0,Disiram Banyak
0.0,30.9,35.0,Disiram Banyak
0.0,30.4,36.0,Disiram Banyak
0.0,28.5,48.0,Disiram Banyak
